Account,Quantity(GOAT)
J6u55118ie8ukQjESCy8m8Nkt3vTb6n6XsFetB7Xh9QE,542610.00
EDWB9BSzCJ5TNn3JJW2zkKxvGRmwkEDYxnHGgsFNe3cA,539062.19
2egbJxkMXZ3LQz457NysWNFB99VJFUt5CXf5niYk3y2C,536512.16
BbHG9GvPActFGogv3iNrpDAj4qpXr8t3jF16uGxXcKci,534218.49
46NDngtdoGhtiovvZziN2Gw6xdwj7GcjyshGEXjerBrh,524234.40
GKThb8xEFpaSQxiYQTaQxJrAh7SneGSNFpezmCSW91Hq,522442.79
G8d7ECieXc6reHaRao4noyAtemi27QkG1RcYLqurm7L6,517419.14
E56cLQLVkAiNZ5Z9Bymc7JVGN8mRGgv6h4KwEEeE3bDp,516935.18
7wDE9W9YCPENvLophBfCSoqtrCYvMEGDDT3kxny1xS3t,512905.03
5q3g19Ct3pRypgtNSU7Eoib2NNGxCMEySez5TRrYVpZR,509493.67
GDui3zpJC1xdnddCM2Vjp5Hnj97pQH1gDAHctyavx5iQ,509142.00
E8t7c7nfh9RojcJLKsDzxfjLgJ6vnfpGfHLUpwT6cJL3,507137.83
9R8JsTY1A8QRjJnnMvKJ2FmxDbVTeyozb4x9mjtRb8GD,500037.32
BWg7T2hD4FB4yQ9B3V2KfCxQHsuZc2byjMBrUUnSMB1A,500000.26
6frj1VKWfboZqsmPJGLfcpB7MMAryMBwiEM9RUAkoDeH,500000.03
C9ZT2HDt3QPVCfwHBNiDoMoCfWApf3dsZA4XrGiSxPLZ,500000.00
2h7Ns9w2grSeQ9mE9WggJZvxMKKLNADJrKTSLucrbmzB,500000.00
HptaCGu4RTsL9bVFskD8NimD4ii5iiC9JfDoMswDtkSq,484006.30
AobVSwdW9BbpMdJvTqeCN4hPAmh4rHm7vwLnQ5ATSyrS,480663.66
6vGu3ZEA2C8R8M68q3FMpXp4YPpaFhQ32urKxeD27uwW,476271.31
CcMZGZdC3Cxsk3SDwzJtSuQ8cev5bVBk8SR8zj82RG2t,474848.50
2K3zCPNHyyPQidhayBPf3H9KrjTpGo3uxFzm6rKMT5ot,470730.89
JTY58ZExRWkTCYEiJmsnM5KWkwzpBEJpJRhiEf9yWfN,459218.10
E6x6GcMfyW7d9YMsb3XcfGrAeqpLuBUk5oCpvR82a3Ln,451123.22
31KaApdR8xz2X1ZLo8UF62bLrn5oeWasgqs14kj95yYG,433062.94
GNbQLhnfofuNfiwte4Caswz8V3e6R6QFNLY6CArHbHVS,426383.46
CNN8D44zGLqono781GWt4cvZzi4r7QDKiTVnGA46xP22,425470.13
F7DarfqKT7Pndth7RewShnH4fpWjSGvocW9a5A9k5oKS,422223.81
2bfrVMujN6pqJRwem5hoFhBJUrgp42aCKWHnhPUHHNwR,417280.10
AtCZma9U3miNhPpK2mT2nBYTY54xqAjD8MMw7BN3EHcB,416578.22
F2sAucxueAWByRxmu2CwoJew8ksH64GwStodd4Fuj3tR,409073.49
AKoGWxSK2EpWXd2QLTFDbRREXaqYFTQG3jN3VvjLHvk,400000.00
HVcn5H45Pm5MekunRfrGx7ZqiNF16wvPJXrNZhJXtpqX,399597.34
FbFbe2UnSnLQvkyRmDNxhcfVaRDdotbnck62RF4iHFqg,399000.00
7vHDG3oXT6jQM5faujNGYdSwiPrvVySUogtztuwhh41w,390000.46
8rBhG5HL2k7eAbAjLoiuCiPRt2PAQtJkjjRa4pWrn2qA,375290.18
3qexiy44hujWxjcwFet4bSytBiCDD2dr5zM9iVMyouZM,367331.88
AbAJTusiABvFMyVzCZMyDAsdHx7z9ru8V2Bx6nKEFLCh,358710.30
3adkaq7tbB67mEDSkNdFRqupmTvEbMH9WEqTEpz3YcLw,354784.23
8EqVV5qosZcTe52EJSzpfAyDKFsc5Dqd6zDvm8epeQSp,350000.00
3Zdec3CnxxqpmHSSjjCxH8auyUVBLdLzpm7rejEYrETp,342450.08
6912qaCe81VoDMGXXYVUCTBv2rJu9yghjezQpQCLHW9L,342304.07
E5LXNL6jbBLv4rpZ7P2RtwRfjggQjHPWcMCGhPBhb4fJ,335251.47
GTnVyZ87ujyqe7WaJ7sgmUAV37tpZwH3f4eD7WSCvfjm,331444.54
Gax1v7bt3HgkU8g9jYZcxjZ62txNu9UxUJrFVvkFyMem,330783.38
F6L8BKSqffFYCnH3yMYbJcKWKzLCZF8q2J5KBZvDsw1Y,330178.47
4GC3a1RkRXx5shwGP8pTY6cxXgSWkbfc66vM53a6qSKj,330020.00
EHwFn5nVroZv2nLTbPEF582cqdr5jjdtgwvtFFLY4fmR,329653.41
6qMWLRtHwbFWRm19H6PYewiJDQB8yymJ4xwZBVdLemMC,329496.27
B3f4w16dvgYGREvT65FTJPsbraCiqS96R1abzzfNeNrQ,327720.81
GGLZ1v5kVGrZUWGghb5H7HHNFMWEpZd1Q8RQU2fn4hfK,326021.58
8PFD2CYF275p8YdRmhk4C1wcNoKeRVrouYdMbZV6HwHH,322160.63
