Account,Quantity(GOAT),Tokens Held,SOL Balance,Wallet Age
4JQMPhKeHDK9oeUvpdnYWvwfd9i8h5brknCgd1nKAEmH,2002340.27,,,
DB2RUR2AQ4wLWDJmShJDqUSHwfQi59p63n7aWAs7w8LF,2000000.16,,,
3Lf1ZzB4JXRTsc5G1Et1ZNkckG6qp2xXhjLSMvhUVXd9,2000000.00,,,
A8if36Sx2haNncQ8q8XWN3P9skyBz4t4v3pRSiwZBGKE,2000000.00,,,
62D255w5Bg6Puq2fcJVdb9KLXAhqDQqQdMAbBRdxobLF,2000000.00,,,
5ow9M5AZUDUm3p3PAeBYMA8g2n65fKRMrfdbqEyE2b6U,2000000.00,,,
FyhpLemdH2UYYiH744PdYTjkMqj991r9NjWcY2qtZL5s,2000000.00,,,
67z6LPnwX8A5dFrPdU26cm8r6ktS68EkGmbcwtzdD4qD,1929476.18,,,
Ew19cErtfuPsZ4gCMAFGrMVF8FZMSrBMzSK1Sb7uc1pM,1928219.21,,,
GhGn7gD2JsshG11ejsYnHZywfz5oDJiC7WBjrFST7Uiq,1860001.00,,,
3fuccccBnWsVAvBmDoyPvcSEYD6qvjLhTr1fBXt3Nx5Y,1856879.99,,,
5RLkGmkxhegmUtdjqgg3jhqP2x7cvLCUyWSGFzPT6xzB,1836694.24,,,
Gyab96Qvr93QH5Uc3Fyp5r3wz1sRLpcbNkPk4vQrYuPf,1818329.73,,,
4E2zbwMuheneS3FniPhPwhJyauwvnuHx6SZR9ag8LmW3,1810022.02,,,
j4aUumfC9BaZExfM5MDW5Sx98xBZ67YpidLLu1miJec,1807251.39,,,
JCNCMFXo5M5qwUPg2Utu1u6YWp3MbygxqBsBeXXJfrw,1804355.17,,,
GJFXMTxWdT4uWPXon1d9rJmx4U6NWbeaneh8uhVArVfP,1766493.15,,,
DaCAZhq7Ka6vpTr5Xh9y5BSawJaAeoxaER1czocKQ3Xr,1758330.26,,,
HUtqucdqUFAkz2uZgnT3sF5FJtD2WgyA885t22TCirLe,1753846.15,,,
Ame9aKLA3AuJpHs6vUsXXR1ybhb2nECLR5Jr6BE7bTAk,1748439.87,,,
GL8T72PKygWaYrLKtSteN9UUvYYnuC8azNDunk4eaqqQ,1740414.41,,,
G8p5wwV4XMWA5xSV8W4X881rXXrSE5cqZhbopf4t3S2h,1730174.39,,,
GZ9bg37k1vf8tNXPjabZue2vbxwymapaifwdizzT49gT,1707393.29,,,
7KMMYJxm7wHQAXqJU4RJ3qwVB6U7Rt7jGcBCTSLKpbzW,1705176.90,,,
9L3GxHRxfPd5X4QzYbQ8ZPRLfdMiPrT2K1BmQSbYFekc,1704615.38,,,
6V3J6dinwYJswLXETZrhCGZWyriGRKPkoCLVjMrk9KNQ,1704542.91,,,
A6DurJbMkzDYhZmnrwndVbRfWNfmLrnsy6LJztPDX77w,1700000.00,,,
2GtTDpNvwsd5Ho4p71FDaNuhNi6M2DPg1iu13EJfqbSg,1610403.27,,,
AzvvPNiaP7436u7dSLVoKct8JcmcofcY4qKKgpvhNkZC,1606426.00,,,
3sqSTNfchZNaigzKzk3usAcXpBpYBut7p2ipCma2UPtw,1555523.80,,,
8u65RxNcnx4ssJxkuky2rVXFR2TnBFGWLneVusFCzjMk,1545377.16,,,
2JT2cPvV45VFV1LJJ4qBvvpYyEuGE1Ey46ku7WTL1Jvg,1545199.63,,,
pLugKGg6GnzhGsKjxAyXBZXpKcitybH4S9iYgyAdci1,1530463.47,,,
